"TIME","PWM","y6"
5.812999059,4.99783,4.29592
5.821337388,4.99801,4.24697
5.82272711,4.99803,4.23881
5.830023148,4.99817,4.1952
5.833714596,4.99824,4.17293
5.835625463,4.99827,4.16139
5.835951179,4.99828,4.15942
5.841466636,4.99835,4.12592
5.858143295,4.99858,4.02416
5.88037884,4.99888,3.89028
5.885937726,4.99895,3.85751
5.897055499,4.99905,3.79309
5.907825841,4.99914,3.7326
5.911995006,4.99918,3.70973
5.917553892,4.99922,3.67984
5.928671665,4.99932,3.62226
5.938399716,4.99937,3.57468
5.946738045,4.99942,3.53588
5.957855818,4.99948,3.48741
5.963762134,4.99952,3.46337
5.967931299,4.99953,3.447
5.973490185,4.99955,3.42608
5.984607958,4.99958,3.38746
6.006843503,4.99964,3.32345
6.051314593,4.99976,3.24852
6.0891875,4.99987,3.23802
6.08918751,0.00984781,3.23802
6.089193766,0.00984717,3.23802
6.089207623,0.00984576,3.23803
6.090371605,0.00973205,3.23852
6.092440907,0.0095332,3.23939
6.093623366,0.00942138,3.24002
6.095988282,0.00920163,3.24127
6.100718115,0.00877723,3.24439
6.110177781,0.00798538,3.25262
6.129097113,0.00660376,3.27658
6.133826946,0.00630609,3.2845
6.135009404,0.00623254,3.28648
6.13796555,0.00605179,3.29143
6.139231438,0.0059759,3.29367
6.139268751,0.00597367,3.29373
6.140414257,0.00590577,3.2958
6.141596715,0.00583648,3.29794
6.143961632,0.00570033,3.30246
6.148691465,0.00543741,3.31151
6.158151131,0.00494686,3.33125
6.177070463,0.00409095,3.37537
6.214909126,0.00277702,3.47381
6.215890756,0.00275029,3.47637
6.217854014,0.00269682,3.48181
6.219326459,0.00265754,3.4859
6.221753691,0.00259396,3.49264
6.221769628,0.00259354,3.49268
6.22183074,0.00259196,3.49285
6.222260203,0.00258087,3.49404
6.223732647,0.00254323,3.49811
6.225695906,0.00249388,3.50353
6.229622423,0.00239802,3.51439
6.237475458,0.00221707,3.53582
6.253181528,0.00189417,3.57702
6.284593669,0.00137687,3.64748
6.292446704,0.0012768,3.66146
6.294409963,0.00125226,3.66495
6.297187437,0.00121815,3.66965
6.297187447,4.99124,3.66965
6.297193949,4.99124,3.66966
6.297210225,4.99124,3.66969
6.299966341,4.99147,3.67417
6.303959453,4.99181,3.68025
6.304606435,4.99186,3.68123
6.304607961,4.99186,3.68123
6.30469409,4.99187,3.68136
6.305301737,4.99192,3.68224
6.310162918,4.99225,3.68887
6.315718552,4.99264,3.69558
6.326829821,4.9934,3.70601
6.335163273,4.99398,3.7109
6.337593863,4.99414,3.71183
6.339671801,4.99426,3.71263
6.344532981,4.99453,3.71372
6.350088616,4.9948,3.71392
6.361199885,4.99532,3.71094
6.369533337,4.99572,3.70548
6.373808571,4.99592,3.70173
6.374459622,4.99594,3.70116
6.376977019,4.99604,3.69863
6.381143745,4.99619,3.69394
6.388088288,4.99644,3.68473
6.392949469,4.99662,3.67725
6.395879198,4.99672,3.67238
6.395958884,4.99673,3.67224
6.395999574,4.99673,3.67217
6.398733988,4.99681,3.66736
6.40706744,4.99705,3.65119
6.418178709,4.99738,3.62635
6.440401248,4.99786,3.56713
6.450818063,4.99808,3.53502
6.457502186,4.99823,3.51355
6.458717481,4.99825,3.50965
6.461441044,4.9983,3.50067
6.462048691,4.99831,3.49867
6.466909872,4.99837,3.48239
6.483576775,4.9986,3.42492
6.505831866,4.99891,3.34692
6.505888494,4.99891,3.34672
6.505907483,4.99891,3.34665
6.511441416,4.99897,3.32719
6.516997051,4.99902,3.30784
6.530886137,4.99914,3.26069
6.538264714,4.99921,3.23653
6.54243144,4.99924,3.22321
6.547987075,4.99927,3.20587
6.559098344,4.99934,3.17289
6.567431796,4.9994,3.14987
6.579584747,4.99947,3.11897
