Record Length,30000,,Source,CH1,CH2
Sample Interval,0.0020000001563,,Second,Volt,Volt
,,,-28.95000000000,0.00,0.00
,,,-28.94800250000,0.00,0.03960
,,,-28.94600000000,0.00,0.03960
,,,-28.94400250000,0.00,0.07920
,,,-28.94200250000,0.00,0.03960
,,,-28.94000000000,0.00,0.03960
,,,-28.93800250000,0.00,0.03960
,,,-28.93600000000,0.00,0.03960
,,,-28.93400250000,0.00,0.03960
,,,-28.93200000000,0.04000,0.07920
,,,-28.93000250000,0.00,0.03960
,,,-28.92800250000,0.00,0.03960
,,,-28.92600000000,0.04000,0.03960
,,,-28.92400250000,0.00,0.03960
,,,-28.92200000000,0.00,0.07920
,,,-28.92000250000,0.00,0.03960
,,,-28.91800000000,0.00,0.03960
,,,-28.91600250000,0.00,0.03960
,,,-28.91400250000,0.00,0.07920
,,,-28.91200000000,0.00,0.03960
,,,-28.91000250000,0.00,0.03960
,,,-28.90800000000,0.04000,0.03960
,,,-28.90600250000,0.00,0.03960
,,,-28.90400000000,0.00,0.07920
,,,-28.90200000000,0.00,0.03960
,,,-28.90000250000,0.00,0.03960
,,,-28.89800000000,0.00,0.03960
,,,-28.89600250000,-0.04000,0.03960
,,,-28.89400000000,0.00,0.03960
,,,-28.89200250000,0.00,0.03960
,,,-28.89000250000,0.00,0.03960
,,,-28.88800000000,0.00,0.03960
,,,-28.88600250000,0.00,0.03960
,,,-28.88400000000,0.00,0.03960
,,,-28.88200250000,0.00,0.03960
,,,-28.88000000000,0.00,0.03960
,,,-28.87800250000,0.00,0.03960
,,,-28.87600250000,-0.04000,0.00
,,,-28.87400000000,-0.04000,0.03960
,,,-28.87200250000,0.00,0.03960
,,,-28.87000000000,0.00,0.03960
,,,-28.86800250000,0.00,0.03960
,,,-28.86600000000,0.00,0.03960
,,,-28.86400250000,-0.04000,0.03960
,,,-28.86200250000,0.04000,0.00
,,,-28.86000000000,-0.04000,0.03960
,,,-28.85800250000,0.00,0.00
,,,-28.85600000000,0.00,0.03960
,,,-28.85400250000,0.00,0.03960
